Skill	EntityID
Advantage Software Psych Advantage	ONET:AdvantageSoftwarePsychAdvantage
Advantage Software Total Eclipse	ONET:AdvantageSoftwareTotalEclipse
Advantos Systems DataTrust Enterprise	ONET:AdvantosSystemsDataTrustEnterprise
Advent Axys	ONET:AdventAxys
AdviceAmerica AdvisorVision	ONET:AdviceAmericaAdvisorVision
Advisory World ICE	ONET:AdvisoryWorldICE
Adxstudio for Microsoft	ONET:Adxstudio,ForMicrosoft
AEC Design Group CADPIPE	ONET:AECDesignGroupCADPIPE
AEC Software FastTrack Schedule	ONET:AECSoftwareFastTrackSchedule
AEMC DataView	ONET:AEMCDataView
Aeration compressors	ONET:AerationCompressors
